Беньямин		экран, поднимающий отраженный свет от юд Зеир-Анпина.
Зивуг тадир	зивуг постоянный	сочетание Аба и Има на своих местах.
ЗО"Н шель клипа		разбились только келим семи нижних сфирот.
Захар	мужское начало	парцуф, получающий от своего высшего парцуфа такой же свет, который есть в высшем.
Зман	время	определенное количество свойств, развивающихся одно из другого как причина из следствия.
Занав арайот	хвост льва	окончание высшей ступени, превращающаяся в голову нижней ступени "голова лисицы".
Йуд		десятая буква ивритского алфавита, числовое значение 10.
Йосэф		есод Зеир Анпина.
Исраэль	или Моше и Исраэль	ГА"Р Зеир Анпина или внутренний парцуф.
Ибур	зарождение	зивуг малого состояния.
Ибур алеф		зивуг на зарождение самого парцуфа.
Ибур бэт		зивуг ради дополнительного света хохма в парцуфе.
Ир	город	состояние мира Ацилут, когда миры поднимаются к нему.
Йуд-алеф симаней кторет	11 частей воскурения	искры света, оставшиеся для оживления лев аэвэн, каменного сердца.
Ихут амаком		качество места. Количество места - это количество ступеней, имеющихся в этом месте. Качество - важность ступени, находящейся в этом месте.
Илем-дибур	немой-говорящий	десять сфирот света, проходящих через малхут рош в тох парцуфа, называются "пэ" (рот). Внутренний парцуф нуквы называется "дибур" (речь). Если он исчезает и она остается только с внешним парцуфом, тогда она называется "Илем", потому что внутренний парцуф - это ГА"Р, а внешний- ВА"К.
Ирушалаим	Иерусалим	внешний есод малхут.
Има татаа	нижняя Мать	малхут мира Ацилут.
Истаклут	всматривание	распространение света от Мира Бесконечности к экрану. Свет Мира Бесконечности - это всегда свет хохма, свет глаз, зрение, всматривание.
Ибуро шель ир	зарождение города	шесть первых сфирот Брия, выступающих из мира Ацилут вниз, подобно животу беременной женщины.
Ихуд	единение	два разных свойства, сравнявшихся своими качествами (исправленными намерениями).
ИШСУ"Т		бхина З"А, или АХА"П парцуфа АВ"И. Когда АВ"И производят зивуг "лицом к лицу", считаются парцуфим АВ"И и ИШСУ"Т как один парцуф. Когда АВ"И производят зивуг "спиной к спине", парцуф ИШСУ"Т превращается в отдельный от АВ"И парцуф.
Истаклут алеф	всматривание	См. Истаклут.
Истаклут бет		распространение света от Мира Бесконечности к экрану, поднимающемуся от табура к пэ, производящему по мере осветления (подъема) зивугим, рождающие парцуфей Некудот.
Итдабкут клипот	приклеивание клипот	клипот прилепляются к обратной стороне малхут, потому что она делает границу на получение высшего света, от нее вниз уже темнота. Поэтому в нижней точке малхут есть касание с клипот, это и называется "приклеивание клипот".
Итхадшут нешамот	обновление душ	распространение света хохма в душах, какое было у них во время большого состояния (гадлут) мира Некудим и исчезло после разбиения келим, и так же как было у них во второй раз перед грехопадением Адам аРишон и снова исчезло после разбиения и разделения души на множество частей.
Итпаштут	распространение	Свет, который исходит из сущности Творца и входит в творение, называется по имени «распространение» света. В действительности высший свет не реагирует на все это, подобно зажиганию свечи от свечи, что не приводит к ущербу для первой свечи, и только по получению творением называют это так.
Итпаштут алеф		свет таамим.
Итпаштут бет		вторичное вхождение света после осветления (издахехут) экрана, поскольку теперь уже есть келим, в соответствии с законом распространения и исчезновения света в кли, делает кли пригодным к получению.
Иткашрут	связывание	10 сфирот отраженного света, поднимающихся от экрана головы парцуфа вверх, одевающихся на 10 сфирот прямого света, связываются с ними, потому что в рош парцуф света еще предшествуют келим.
Итрахакут ми ор элион	удаление от Высшего света	чем ближе к месту духовной пустоты, тем считается дальше от Высшего света.
Каф, Хав		одиннадцатая буква ивритского алфавита, числовое значение 20.
Куф		девятнадцатая буква ивритского алфавита, числовое значение 100.
Кацар	короткий	уменьшенное получение ор хохма.
Камут маком	количество места	это количество ступеней, находящихся в месте. Качество места - это важность ступени этого места.
Каф бэт		22 буквы ивритского алфавита. Буквы - это келим, в которые облачается свет. Есть 22 основные буквы алфавита (кроме 5 конечных букв, называемых манцепа"х), которыми определяются все парцуфы.
Каф заин		27 букв алфавита. 22 буквы алфавита и 5 конечных букв (манцепа"х). Благодаря пяти оканчивающих свойствам экрана, из головы парцуфа в тело распространяются света, рождающие келим, т.е. остальные 22 буквы.
Кавед	печень	внутреннее кли со светом нефеш.
Кисэ	кресло	мир Брия. От слова кисуй (покрытие) и алама (сокрытие), потому что свет хохма там скрыт. Также называется "кисэ", потому что свет хасадим, проходящий через парсу, считается светом ВА"К, что означает сидячее положение, по отношению к свету хохма - свету ГА"Р, означающему положение стоя.
Кисэ акавод	кресло почета	10 сфирот света парцуфа Има, распространяющихся в мире Брия: ГА"Р называется "кисэ", ВА"К называется "шесть подъемов (ступеней) к креслу". Малхут, облачающаяся в малхут мира Брия, называется "дин" (суд), "тхелет", "сандалфон".
Кисэ рахамим	кресло милосердия	девять первых сфирот парцуфа Има.
Кисэ дин	кресло суда	малхут светом парцуфа Има, облаченная в малхут мира Брия.
Котэль	Стена плача	экран обратной стороны парцуфа Има, который силой состояния "хафец хесед" отталкивает свет хохма, чтобы не проник в ЗО"Н, потому что они находятся в малом состоянии.
Коах	сила	качество, похожее на то, как из зерна развивается дерево.
Коах аклипа	сила темных сил	облачения светов, покидающих свои келим из-за примеси зла, находящегося в этих келим, и падающие в нечистые силы вместе с остатками светов, усиливают нечистые силы.
Коль вэ дибур	голос и речь	зивуг двух внутренних парцуфим З"А и нуква. Называется также "поцелуй".
Камац		собирание светов, указывающее на 10 светов головы перед их облачением в тело парцуфа. Распространение света в теле называется "проем", открывающий вход свету.
Кацар	короткий	сокращение света хохма. Рахав-широкий - распространение света хасадим. Цар - узкий - сокращение света хасадим. Распространение света хохма называется "длина".
Кав	линия	указывает на наличие верха и низа, то, чего не было раньше, а также на то, что свет хохма свет светит в мизерном количестве по сравнению с прежним светом. Также 10 сфирот прямого света, келим, называются "труба", а наполненные светами называются "линия".
Катнут	малое состояние	это парцуфим зарождения и вскармливания, потому нет головы и света мохин, мозга.
Киста дэ хаюта	оживляющая частица света	микро-свет, остающийся в парцуфе, поднимающемся с МА"Н к высшему. В это время у него исчезает свет мохин.
Клипот	нечистые силы	желание, противоположное высшему свету, желающему только отдавать, т.е. желание только получать. Поэтому отделяются от жизни и называются "мертвые".
Клипат Нога		свойство искр света, в которых перемешано добро и зло. Когда Нога получает свет в хорошую часть, получается светит также и в свою плохую часть.
Карка	земля	малхут любой ступени или мира.
Кешер	связь	название для исправления келим, потому что все сфирот связаны в такой степени, что нет противоположного между ними.
Кешер сфирот	связь между сфирот	подъем малхут в глаза связывает сфирот между собой.
Кли	сосуд	желание получить, находящееся в творении.
Кли амаале ман		кли, поднимающее МА"Н - АХА"П высшего во время его большого состояния.
Кли ле ор макиф	сосуд для окружающего света	половина, внешняя часть дофэн (стенок) кли, т.е. его более светлая часть.
Кли ле ор пними	сосуд для внутреннего света	половина, внутренняя часть дофэн (стенок) кли, т.е. более грубая. Сосуд для окружающего света - это половина внешнего дофэн кли, т.е. более светлый.
Келим хицониим	внешние келим	келим обратной стороны - келим, находящиеся ниже хазэ парцуфа.
Келим шель ахораим		См. Келим Хицониим.
Келим шель паним		келим, находящиеся над хазэ парцуфа.
Кнесет Исраэль	собрание Исраэля	парцуф ГА"Р малхут, получающей (конесет) света от ГА"Р Зеир Анпина, называемого Исраэль.
Кнафаим	крылья	малхут парцуфа Има всегда находится в малом состоянии, отделяющая ЗО"Н от внешних, и этим защищая ЗО"Н, т.к. через нее проходит только небольшое свечение света хохма. Также парса, находящаяся под миром Ацилут, представляет собой малхут парцуфа Има и называется "нааль" (обувь), защищающая "ноги" ЗО"Н, но через нее совершенно не проходит свет хохма.
Кетер	венец	корень (шорэш) ступени. От слова "венчать", т.е. окружать. Будучи самой светлой частью всей ступени, окружает парцуф сверху.
Ламед		числовое значение 30.
Ламед мадрегот бе гуф шель нуква		30 ступеней: зарождение, вскармливание, взросление обратной стороны АХА"П нуквы, где каждый период состоит из 10 сфирот.
Ламед-бэт Элоким дэ маасе берейшит		32 направления, по которым свет хохма приходит в бина, называемую "Элоким", выделяет из 320 искр 288 искр света, являющихся девятью верхними сфиротами и оставляет малхут, 32 искры, в виде отходов внизу.
Леат	постепенно	распространение света в ступени в соответствии с причиной и следствием.
Лев	сердце	кли света руах. Находится в сфирот ХаГа"Т.
Левуш	одежда	свойства З"А, освободившегося от внутреннего света и превратившегося в кли для окружающего света. Так же каждый нижний парцуф считается одеянием относительно высшего.
Ловен элион		свет до своего облачения в кли, потому что все оттенки различаются только самим кли.
Лида	роды	возникновение авиют в теле З"А, отличной от авиют Има, считается рождением и выходом наружу из Има, благодаря различию свойств, похоже на изменение места в материальном мире.
Лемала	сверху	сравнение свойств нижнего с верхним.
Ле атид лаво	в далеком будущем	свет твуны может быть в З"А и поэтому называется "Будущий мир", а свет Има, получаемый З"А на еще более высшей ступени, называется "Ле атид лаво".
Мэм		тринадцатая буква ивритского алфавита числовое значение 40.
МА"Н		причина зивуга.
Мидбар	пустыня	место нечистых сил Этого мира.
Миюхад	Объединяющий	в конце всего превращается в Единый. Единый - это высший свет, приводящий множество различных ступеней к единству, равенству.
Моше и Исраэль		ГА"Р Зеир Анпина.
М"А		АВА"Я с заполнением света "алефим". Все ступени, рождающиеся в мире Ацилут, выходящие на уровне парцуфа М"А, называются "Новый М"А" (М"А ахадаш), относительно светов, искр (нецуцим) и келим парцуфа Некудим, считающихся "Старым М"А" (М"А аяшан) относительно него, потому что уже использовались в предыдущем парцуфе Некудим.
Маациль	Творец	каждая причина относительно исходящего из нее следствия. Также малхут дэ рош считается Творцом относительно тела парцуфа. Также любая высшая ступень относительно нижней.
Моах	мозг	сфира кетер десяти сфирот одной высоты. Сосуд света нешама, находящийся в ГА"Р.
Мохин	мозг	свет ГА"Р или свет головы.
Мохин шель гадлут		свет, получаемый Зеир Анпином при поднятии им МА"Н после 9 лет-ступеней. Это называется "ибур гимель" (третье зарождение), также называется "мохин шель толада", потому что ЗО"Н совершают зивуг "лицом к лицу" и рождают души.
Мезонот	пропитание	должно находиться на высшей ступени, потому что оно дает силы подняться и облачиться в высшего.
Мазаль	удача	есод, потому что передает свет хохма по каплям, прерывисто. Мазаль от слова "нозель", капающий.
Мазла		волосы бороды, т.к. их свет стекает, как капли, пока не соединяется в самый большой свет, какой есть в мирах.
Мехабер	соединяет	малхут высшего превращается в кетер нижнего, соединяя две ступени, т.к. этим происходит сравнивание свойств, и благодаря этому сравниваются все ступени.
Мехицот	перегородки	тело парцуфа.
Махцэвет анэшама		желание получить, заложенное в душах, отделяющее их от высшего света. Переход от мира Ацилут в мир Брия.
Мата	ниже	качественное уменьшение по сравнению с высшим.
Метальтелин	перебрасывание	ВА"К. Пока парцуф не достиг большого состояния, он находится между судом и милосердием, то в одном, то в другом состоянии попеременно, что и называется "перебрасывание".
Ми	кто	бина.
Милуй	наполнение	степень авиют экрана, потому что кли наполняется в этой мере.
Милуй шель АВА"Я		имя АВА"Я - это 10 сфирот: юд-хохма, первая хей-бина, вав-З"А, вторая хей-малхут. Но это не указывает на их высоту, которая может быть нефеш, руах, нешама, хая или ехида. Это определяется их наполнением: Уровень нефеш наполняется именем АВА"Я с наполнением "хей", гематрия БО"Н. Уровень руах - заполнение "алеф", гематрия М"А. Уровень нешама наполняется заполнением "йуд" с вав, заполняющимся "алеф", гематрия СА"Г. Уровень хая наполняется во всех буквах заполнением "йуд", гематрия А"Б.
Мотрей моха	излишнее в мозгу	света, который мозг не может вынести, по причине отсутствия исправления, поэтому они выходят наружу, за парцуф Гальгальта. Называется также "волосы".
Милуим	заполнение	парцуф состоит из 10 пустых сфирот: кетер, хохма, бина, З"А, малхут. Обозначаются именем АВА"Я: юд-хохма, хей-бина, вав-З"А, хей-малхут. Гематрия йуд-хей-вав-хей=10+5+6+5=26. Но это не отражает их высоту: нефеш, руах, нешама, хая, ехида. Высота определяется наполнением десяти сфирот светом.
Миют яреах	уменьшение луны	состояние малхут мира Ацилут, когда она не в состоянии получить свет по причине отсутствия исправления.
Мита	смерть	место, находящиеся ниже распространения высшего света, т.е. ниже точки Сокращения, Цимцума, под парса. Поэтому келим, упавшие под парса, называются "мертвые", поскольку отделены от света жизни.
Мита	смерть	в любом месте выход света Ацилут из кли считается смертью. Поэтому свет хохма называется "светом жизни", ведь именно свет хохма дает жизнь келим.
Митат малахим	смерть ангелов	поскольку не могут получить свет хохма, отделяются от высшего света, постольку считаются упавшими в миры БЕ"А и умершими, т.к. распространение света заканчивается в мире Ацилут.
Малхут		последняя бхина. Называется так, потому что от нее исходит абсолютное управление и власть.
Малхут эйн ла ор	малхут не имеет света	вследствие ослабления экрана в нем остается только наименьший авиют (шореш), недостаточный для зивуга, поэтому может получить только от зивуга, совершающего в З"А.
Малхут миздавегет	малхут, совершающая зивуг	малхут головы.
Малхут месаемет	малхут заканчивающая	малхут тела.
Милемата лемала	снизу вверх	свет, распространяющийся от грубого свойства к светлому, называется "отраженный свет".
Милемала лемата	сверху вниз	свет, распространяющийся от светлого свойства к грубому, называется "прямой свет".
Милемала лемата	сверху вниз	от бхины алеф до бхины далет. Т.к. бхина далет осталась без света, поэтому она - нижняя, а бхина алеф над всеми, поскольку ее желание самое светлое.
Мале	полный	нет ни в чем недостатка и нечего добавить к его совершенству.
Мэй нуквин	женские воды	при распространении парцуфа Некудот СА"Г под табур соединились два вида решимот: хей ришона, первая буква хей имени АВА"Я, бина парцуфа СА"Г, и хей татаа, нижняя буква хей имени АВА"Я, малхут парцуфа Гальгальта. Поэтому экран, включив в себя две нуквы, бина и малхут, называется "мэй нуквин". Теперь каждый его зивуг содержит в себе две нуквы.
МА"Н		Г"Э (альтруистические келим) нижнего, соединенные в одну ступень с АХА"П высшего, упавшие в них во время своего малого состояния. Будучи слиты с высшим, во время его малого состояния, при подъеме высшего в большое состояние, за счет того, что его АХА"П поднимается, преращаясь в новые НХ"Е, Г"Э нижнего поднимаются вместе с ними. Как экран и решимот будущего парцуфа А"Б находятся в рош Гальгальты и рождают парцуф А"Б, так происходит рождение в парцуфим Ц"Б. Отличие в том, что зивуг происходит на есод.
МАНЦЕПА"Х		свойства экрана и авиют парцуфа, которые остались в нем со времени его малого состояния. МА"Н низшего (душ) слиты с АХА"П парцуфа Нуква, от которого затем низший получает свое зарождение. Поэтому МА"Н зарождения включен в МАНЦЕПА"Х Нуквы, которая поднимает его в З"А, и на этот МА"Н происходит зарождение нового парцуфа души.
Масах	экран	сила Сокращения, возникшая в творении по отношению к высшему свету, препятствующая его проникновению в бхину далет. Это означает, что в то мгновение, когда свет касается бхины далет, тут же возбуждается эта сила, ударяет в свет и отбрасывает его обратно. Эта сила и называется "экран".
Мецах	лоб	бина сфиры кетер.
Маком	место	желание получить (наполнение, наслаждение) в творении. Место, время, движение - все это одно понятие.
Маком ахизат аклипот	место присасывания нечистых сил	место недостатка святости, исправления.
Маком БЕ"А		под парса. Появляется во время Ц"Б.
Маком эрайон	место беремености	нижняя треть сфиры тиферет парцуфа АВ"И в то время, как он соединен с парцуфом ИШСУ"Т.
Маком хошех	место темноты	сфира малхут, заканчивающая парцуф силой Цимцума, находящегося в ней, этим делает от себя и наружу место темноты.
Маком ишув	место поселения	как место миров БЕ"А делится на Г"Э миров БЕ"А, являющимся местом святости, и на 14 сфирот отдела клипот (мадор аклипот), так же Этот мир делится на "место поселения", включающее миры БЕ"А: Храм, землю Исраэля, заграницу и пустыни, где нет никаких поселений человека.
Маком пануй	пустое пространство	когда З"А поднимается в Арих Анпин, который является его настоящим местом, вследствие того, что А"А одевается на З"А мира Некудим, место миров БЕ"А остается пустым, т.к.нет там света Ацилут, и при окончательном исправлении (гмар тикун) спускается мир Ацилут под парса.
Место светов		это малхут головы, потому что производит отраженный свет (О"Х), облачающий прямой свет (О"Я) и проводящий его в тох парцуфа в качестве внутреннего света (О"П).
Мешулаш	треугольник	ступень, имеющая только три первых свойства, желания.
Митбатель	самоустранение	когда два духовных объекта полностью совпадают по своим свойствам, без малейшего отличия между ними, они превращаются в один объект, и бывший меньшим самоотменяет себя перед большим.
Милуй шемот	наполнение имен	указывает на высоту ступени. Точки над и под буквами указывают на корень каждой частной ступени, включена ли она в высший, в низший или сама по себе.
Мецах арацон		во время зивуга в большом состоянии, когда благодаря свету А"Б-СА"Г светит свет хохма, исчезают парцуфей сеарот и проявляется "Эт рацон", время желания.
Нун		четырнадцатая буква ивритского алфавита, числовое значение 50.
Нэшамот Адам Аришон	Души Первого Человека	до грехопадения это света НаРа"Н миров БЕ"А, находящихся в подъеме в мире Ацилут. После грехопадения остался только свет нефеш в кли кетер от каждой из всех сфирот миров БЕ"А от АВ"И дэ Брия и ниже.
Нешамот бней адам	души людей	внутренние келим мира Ацилут КаХа"Б, называемые "моха", "ацамот", "гидин" со светами НаРа"Н. Света хая и ехида облачаются в свет нешама. Келим З"А и малхут отделились от парцуфа, поэтому они называются "басар" и "ор", т.е. не настоящие, законченные (исправленные) келим, атолько одевают келим тела снаружи. Света руах и нефеш, заполняющие их, они получают от внутренних келим. Поэтому есть света руах и нефеш во внутренних и в наружных келим. От взаимодействия внутренних келим рождаются души людей. А от взаимодействия наружных келим рождаются души ангелов. Поэтому души считаются внутреннейчастью миров, т.к. рождаются от внутренних келим парцуфа. А ангелы считаются внешней частью миров, потому что рождаются от внешних келим парцуфа.
Нешамот малахим	души ангелов	См. Нешамот бней адам.
Нихтам	отпечаток	те же 10 сфирот, которые проходят из головы в тело. Хотэм - печать - это отраженный свет, поднимающийся от экрана вверх и облачающий 10 сфирот головы.
Нэиро дакик	слабое свечение	маленькое, тонкое свечение, оживляющее клипот.
Нецуц	искра (мн. нецуцим)	отраженный свет. Нецуцин, искры - воспоминания, оставшиеся от светов парцуфа Некудим после их исчезновения из разбитых сосудов, есть в них два вида светов: 1) прямой свет, чистый, называемый "света", которые остались в мире Ацилут, 2) отраженный свет, грубый, называемый "искры", которые опустились в миры БЕ"А.
Ногеа	касается	изменение от одной ступени к другой, но еще недостаточное для отделения ее от корня.
Нофлим	падают	когда З"А достоин, поднимается твуна в Има, делает зивуг на авиют бет и передает свет З"А, это называется поддерживать падающих ЗО"Н, т.к. передает им свет ГА"Р.
Нуква		цель роста нуквы, чтобы стала в будущем "лицом к лицу" с З"А в полный рост в одном кетере. Самое малое ее состояние - точка ниже есод З"А.
Никуй псолет	очищение отходов	авиют, находящийся в МА"Н нижнего, поднимается и включается в зивуг высшего парцуфа. Там она проверяется и исправляется посредством экрана высшего. Тогда низший сам способен на зивуг. Все зависит от зивуга, происходящего в высшем: если зивуг происходит на авиют алеф экрана,то из всего авиюта очищается бхина алеф, а остальные бхинот выходят в отбросы, т.к. экран их не исправил. Поэтому этот зивуг называется "очищение отходов". Потому что только то количество отходов, которое включено в экран, исправляется и способно на зивуг.
Нимшах	притяжение	нисхождение света силой авиют, т.е. силой желания, которое есть в творении, называется "распространение", или "притяжение".
Несира		отделение нуквы от З"А.
Нефила	падение	опускание ступени на нижнюю, т.к. стала такой же по свойствам, как она.
Нефеш		свет, получаемый парцуфом от ближайшего к нему высшего парцуфа, а не как влияние Мира Бесконечности. Называется также "свет некева".
Некева, нуква		малхут мира Ацилут. Называется так, потому что получает свет от З"А через некев, отверстие в ее груди, которое уменьшает свет.
Никвэй озен, хотэм, эйнаим		во время Ц"Б поднялась малхут каждой сфиры из 5 сфирот дэ рош сфиры хохма и сделала в них отверстие: в хотэм-носу, озен-ухе, эйнаим-глазах. До поднятия малхут в каждой сфире существовало в рош только одно отверстие - рот.
